Iteration;X;Y;Action;
222;48,972270361341;1,84154085628319;turnleft;
223;48,972270361341;1,84154085628319;turnleft;
224;48,972270361341;1,84154085628319;turnleft;
225;48,972270361341;1,84154085628319;shoot;
226;48,972270361341;1,84154085628319;turnleft;
227;48,972270361341;1,84154085628319;turnleft;
228;48,972270361341;1,84154085628319;turnleft;
229;48,972270361341;1,84154085628319;turnleft;
230;48,972270361341;1,84154085628319;turnleft;
231;47,972270361341;1,84154085628319;movebw;
232;48,972270361341;1,84154085628319;movefw;
233;47,972270361341;1,84154085628319;movebw;
234;48,972270361341;1,84154085628319;movefw;
235;47,972270361341;1,84154085628319;movebw;
236;46,972270361341;1,84154085628319;shoot;
237;48,972270361341;1,84154085628319;movefw;
238;47,972270361341;1,84154085628319;movebw;
239;48,972270361341;1,84154085628319;movefw;
240;47,972270361341;1,84154085628319;movebw;
241;48,972270361341;1,84154085628319;movefw;
242;47,972270361341;1,84154085628319;movebw;
243;48,972270361341;1,84154085628319;movefw;
244;47,972270361341;1,84154085628319;movebw;
245;48,972270361341;1,84154085628319;movefw;
246;47,972270361341;1,84154085628319;movebw;
247;47,972270361341;1,84154085628319;turnleft;
248;47,972270361341;1,84154085628319;turnleft;
249;47,972270361341;1,84154085628319;turnleft;
250;47,0063445350519;1,58272181118067;movebw;
251;47,9722703613409;1,84154085628319;movefw;
252;47,0063445350519;1,58272181118067;movebw;
253;47,9722703613409;1,84154085628319;movefw;
254;47,0063445350519;1,58272181118067;movebw;
255;47,9722703613409;1,84154085628319;movefw;
256;47,0063445350519;1,58272181118067;movebw;
257;47,9722703613409;1,84154085628319;movefw;
258;47,9722703613409;1,84154085628319;shoot;
259;47,0063445350519;1,58272181118067;movebw;
260;47,9722703613409;1,84154085628319;movefw;
261;47,0063445350519;1,58272181118067;movebw;
262;47,9722703613409;1,84154085628319;movefw;
263;47,0063445350519;1,58272181118067;movebw;
264;47,9722703613409;1,84154085628319;movefw;
265;47,0063445350519;1,58272181118067;movebw;
266;47,9722703613409;1,84154085628319;movefw;
267;47,0063445350519;1,58272181118067;movebw;
268;47,0063445350519;1,58272181118067;shoot;
269;47,9722703613409;1,84154085628319;movefw;
270;47,0063445350519;1,58272181118067;movebw;
271;47,9722703613409;1,84154085628319;movefw;
272;47,0063445350519;1,58272181118067;movebw;
273;47,9722703613409;1,84154085628319;movefw;
274;47,0063445350519;1,58272181118067;movebw;
275;47,9722703613409;1,84154085628319;movefw;
276;47,9722703613409;1,84154085628319;turnright;
277;47,9722703613409;1,84154085628319;turnright;
278;47,9722703613409;1,84154085628319;turnright;
279;47,9722703613409;1,84154085628319;turnright;
280;47,9722703613409;1,84154085628319;turnright;
281;47,9722703613409;1,84154085628319;turnright;
282;47,9722703613409;1,84154085628319;turnright;
283;47,9722703613409;1,84154085628319;turnright;
284;47,9722703613409;1,84154085628319;turnright;
285;47,9722703613409;1,84154085628319;turnright;
286;47,9722703613409;1,84154085628319;turnright;
287;47,9722703613409;1,84154085628319;turnright;
288;47,9722703613409;1,84154085628319;turnright;
289;47,9722703613409;1,84154085628319;turnright;
290;47,9722703613409;1,84154085628319;turnright;
291;47,9722703613409;1,84154085628319;turnright;
292;47,9722703613409;1,84154085628319;turnright;
293;47,9722703613409;1,84154085628319;turnright;
294;47,9722703613409;1,84154085628319;turnright;
295;47,9722703613409;1,84154085628319;turnright;
296;47,9722703613409;1,84154085628319;turnright;
297;47,9722703613409;1,84154085628319;turnright;
298;47,9722703613409;1,84154085628319;turnright;
299;48,1459185390079;2,82634860929539;movebw;
300;48,3195667166748;3,8111563623076;movebw;
301;48,4932148943417;4,79596411531981;movebw;
302;48,6668630720087;5,78077186833202;movebw;
303;48,8405112496756;6,76557962134423;movebw;
304;49,0141594273425;7,75038737435644;shoot;
305;48,6668630720087;5,78077186833202;movefw;
306;48,8405112496756;6,76557962134423;movebw;
307;48,6668630720087;5,78077186833202;movefw;
308;48,8405112496756;6,76557962134423;movebw;
309;48,6668630720087;5,78077186833202;movefw;
310;48,8405112496756;6,76557962134423;movebw;
311;48,6668630720087;5,78077186833202;movefw;
312;48,8405112496756;6,76557962134423;movebw;
313;48,6668630720087;5,78077186833202;movefw;
