Iteration;X;Y;Action;
0;33;6;movefw;
1;33;7;movefw;
2;33;8;movefw;
3;33;9;movefw;
4;33;10;movefw;
5;33;11;movefw;
6;33;12;movefw;
7;33;13;movefw;
8;33;14;movefw;
9;33;15;movefw;
10;33;16;movefw;
11;33;15;movebw;
12;33;14;movebw;
13;33;13;movebw;
14;33;12;movebw;
15;33;11;movebw;
16;33;10;movebw;
17;33;9;movebw;
18;33;8;movebw;
19;33;7;movebw;
20;33;6;movebw;
21;33;5;movebw;
22;33;4;movebw;
23;33;3;movebw;
24;33;2;movebw;
25;33;1;movebw;
26;33;1;turnright;
27;33;1;turnright;
28;33;1;turnright;
29;33;1;turnright;
30;33;1;turnright;
31;33;1;turnright;
32;33;1;turnright;
33;33;1;turnleft;
34;33;1;turnleft;
35;33;1;turnleft;
36;33;1;turnleft;
37;33;1;turnleft;
38;33;1;turnleft;
39;33;1;turnright;
40;33;1;turnright;
41;33;1;turnright;
42;33;1;turnright;
43;33;1;turnright;
44;33;1;turnright;
45;33;1;turnright;
46;33;1;turnright;
47;33;1;turnright;
48;33;1;turnright;
49;33;1;turnright;
50;33;1;turnright;
51;33;1;turnright;
52;33,9396926207859;1,34202014332567;movefw;
53;34,8793852415718;1,68404028665134;movefw;
54;35,8190778623577;2,02606042997701;movefw;
55;36,7587704831436;2,36808057330268;movefw;
56;37,6984631039295;2,71010071662835;movefw;
57;38,6381557247154;3,05212085995402;movefw;
58;39,5778483455013;3,39414100327969;movefw;
59;40,5175409662872;3,73616114660535;movefw;
60;41,4572335870731;4,07818128993102;movefw;
61;40,5175409662872;3,73616114660535;movebw;
62;39,5778483455013;3,39414100327969;movebw;
63;38,6381557247154;3,05212085995402;movebw;
64;37,6984631039295;2,71010071662835;movebw;
65;36,7587704831436;2,36808057330268;movebw;
66;35,8190778623577;2,02606042997701;movebw;
67;34,8793852415718;1,68404028665134;movebw;
68;33,9396926207859;1,34202014332567;movebw;
69;33;1;movebw;
70;33,9396926207859;1,34202014332567;movefw;
71;33;1;movebw;
72;33,9396926207859;1,34202014332567;movefw;
73;34,8793852415718;1,68404028665134;movefw;
74;35,8190778623577;2,02606042997701;movefw;
75;36,7587704831436;2,36808057330268;movefw;
76;37,6984631039295;2,71010071662835;movefw;
77;38,6381557247154;3,05212085995402;movefw;
78;39,5778483455013;3,39414100327969;movefw;
79;40,5175409662872;3,73616114660535;movefw;
80;41,4572335870731;4,07818128993102;movefw;
81;40,5175409662872;3,73616114660535;movebw;
82;39,5778483455013;3,39414100327969;movebw;
83;38,6381557247154;3,05212085995402;movebw;
84;37,6984631039295;2,71010071662835;movebw;
85;36,7587704831436;2,36808057330268;movebw;
86;35,8190778623577;2,02606042997701;movebw;
87;34,8793852415718;1,68404028665134;movebw;
88;33,9396926207859;1,34202014332567;movebw;
89;33;1;movebw;
90;33,9396926207859;1,34202014332567;movefw;
91;33;1;movebw;
92;33,9396926207859;1,34202014332567;movefw;
93;34,8793852415718;1,68404028665134;movefw;
94;35,8190778623577;2,02606042997701;movefw;
95;36,7587704831436;2,36808057330268;movefw;
96;37,6984631039295;2,71010071662835;movefw;
97;38,6381557247154;3,05212085995402;movefw;
98;39,5778483455013;3,39414100327969;movefw;
99;40,5175409662872;3,73616114660535;movefw;
100;41,4572335870731;4,07818128993102;movefw;
101;40,5175409662872;3,73616114660535;movebw;
102;39,5778483455013;3,39414100327969;movebw;
103;38,6381557247154;3,05212085995402;movebw;
104;37,6984631039295;2,71010071662835;movebw;
105;36,7587704831436;2,36808057330268;movebw;
106;35,8190778623577;2,02606042997701;movebw;
107;34,8793852415718;1,68404028665134;movebw;
108;33,9396926207859;1,34202014332567;movebw;
109;33;1;movebw;
110;33;1;turnright;
111;33;1;turnright;
112;33;1;turnright;
113;33;1;turnright;
114;33;1;turnright;
115;33;1;turnright;
116;33;1;turnright;
117;33;1;turnright;
118;33;1;turnright;
119;33;1;turnright;
120;33;1;turnright;
121;32,180847955711;1,57357643635105;movebw;
122;31,361695911422;2,14715287270209;movebw;
123;30,542543867133;2,72072930905314;movebw;
124;30,542543867133;2,72072930905314;turnright;
125;30,542543867133;2,72072930905314;turnright;
126;30,542543867133;2,72072930905314;turnright;
127;30,542543867133;2,72072930905314;turnright;
128;30,542543867133;2,72072930905314;turnright;
129;30,542543867133;2,72072930905314;turnright;
130;30,542543867133;2,72072930905314;turnright;
131;30,542543867133;2,72072930905314;turnright;
132;30,542543867133;2,72072930905314;turnright;
133;30,542543867133;2,72072930905314;turnright;
134;30,6296996098807;1,7245346109614;movefw;
135;30,6296996098807;1,7245346109614;turnleft;
136;30,6296996098807;1,7245346109614;turnleft;
137;30,6296996098807;1,7245346109614;turnleft;
138;30,6296996098807;1,7245346109614;turnleft;
139;30,6296996098807;1,7245346109614;turnleft;
140;30,6296996098807;1,7245346109614;turnleft;
141;30,6296996098807;1,7245346109614;turnleft;
142;30,6296996098807;1,7245346109614;turnleft;
143;31,3368063910672;1,01742782977485;movefw;
144;31,3368063910672;1,01742782977485;turnleft;
145;31,3368063910672;1,01742782977485;turnleft;
146;31,3368063910672;1,01742782977485;turnleft;
147;31,3368063910672;1,01742782977485;turnleft;
148;31,3368063910672;1,01742782977485;turnleft;
149;31,3368063910672;1,01742782977485;turnleft;
150;31,3368063910672;1,01742782977485;turnleft;
151;31,3368063910672;1,01742782977485;turnleft;
152;31,3368063910672;1,01742782977485;turnleft;
153;31,3368063910672;1,01742782977485;turnleft;
154;31,3368063910672;1,01742782977485;turnleft;
155;31,3368063910672;1,01742782977485;turnleft;
156;31,3368063910672;1,01742782977485;turnleft;
157;31,3368063910672;1,01742782977485;turnleft;
158;31,3368063910672;1,01742782977485;turnleft;
159;31,3368063910672;1,01742782977485;turnleft;
160;32,1559584353562;1,5910042661259;movefw;
161;31,3368063910672;1,01742782977485;movebw;
162;32,1559584353562;1,5910042661259;movefw;
163;31,3368063910672;1,01742782977485;movebw;
164;32,1559584353562;1,5910042661259;movefw;
165;31,3368063910672;1,01742782977485;movebw;
166;32,1559584353562;1,5910042661259;movefw;
167;31,3368063910672;1,01742782977485;movebw;
168;32,1559584353562;1,5910042661259;movefw;
169;32,9751104796452;2,16458070247694;movefw;
170;33,7942625239342;2,73815713882799;movefw;
171;34,6134145682232;3,31173357517904;movefw;
172;35,4325666125122;3,88531001153008;movefw;
173;36,2517186568012;4,45888644788113;movefw;
174;37,0708707010902;5,03246288423218;movefw;
175;37,8900227453792;5,60603932058322;movefw;
176;37,0708707010902;5,03246288423218;movebw;
177;37,8900227453792;5,60603932058322;movefw;
178;37,8900227453792;5,60603932058322;turnleft;
179;37,8900227453792;5,60603932058322;turnleft;
180;37,8900227453792;5,60603932058322;turnleft;
181;37,8900227453792;5,60603932058322;turnleft;
182;37,8900227453792;5,60603932058322;turnleft;
183;37,8900227453792;5,60603932058322;turnleft;
184;37,8900227453792;5,60603932058322;turnleft;
185;37,8900227453792;5,60603932058322;turnleft;
186;37,8900227453792;5,60603932058322;turnleft;
187;37,8900227453792;5,60603932058322;turnleft;
188;37,9771784881268;6,60223401867497;movefw;
189;37,9771784881268;6,60223401867497;turnleft;
190;37,9771784881268;7,60223401867497;movefw;
191;37,9771784881268;7,60223401867497;turnleft;
192;37,9771784881268;7,60223401867497;turnleft;
193;37,9771784881268;7,60223401867497;turnleft;
194;37,9771784881268;7,60223401867497;turnleft;
195;37,9771784881268;7,60223401867497;turnleft;
196;37,9771784881268;7,60223401867497;turnleft;
197;37,9771784881268;7,60223401867497;turnleft;
198;37,9771784881268;7,60223401867497;turnleft;
199;37,9771784881268;7,60223401867497;turnleft;
200;37,9771784881268;7,60223401867497;turnleft;
201;37,9771784881268;7,60223401867497;turnright;
202;37,9771784881268;7,60223401867497;turnright;
203;37,9771784881268;7,60223401867497;turnright;
204;37,9771784881268;7,60223401867497;turnright;
205;37,9771784881268;7,60223401867497;turnright;
206;37,9771784881268;7,60223401867497;turnright;
207;37,9771784881268;7,60223401867497;turnright;
208;37,9771784881268;7,60223401867497;turnright;
209;37,9771784881268;7,60223401867497;turnright;
210;37,9771784881268;7,60223401867497;turnright;
211;37,9771784881268;7,60223401867497;turnright;
212;37,9771784881268;7,60223401867497;turnright;
213;37,9771784881268;7,60223401867497;turnright;
214;37,9771784881268;7,60223401867497;turnright;
215;37,9771784881268;7,60223401867497;turnright;
216;37,9771784881268;7,60223401867497;turnright;
217;37,9771784881268;7,60223401867497;turnright;
218;37,9771784881268;7,60223401867497;turnright;
219;37,9771784881268;7,60223401867497;turnright;
220;37,2700717069403;6,89512723748842;movebw;
221;36,5629649257537;6,18802045630188;movebw;
222;35,8558581445672;5,48091367511533;movebw;
223;35,1487513633806;4,77380689392879;movebw;
224;34,4416445821941;4,06670011274224;movebw;
225;33,7345378010075;3,35959333155569;movebw;
226;33,027431019821;2,65248655036915;movebw;
227;32,3203242386345;1,9453797691826;movebw;
228;31,6132174574479;1,23827298799606;movebw;
229;31,6132174574479;1,23827298799606;turnleft;
230;31,6132174574479;1,23827298799606;turnleft;
231;31,6132174574479;1,23827298799606;turnleft;
232;31,6132174574479;1,23827298799606;turnleft;
233;31,6132174574479;1,23827298799606;turnleft;
234;31,6132174574479;1,23827298799606;turnleft;
235;31,6132174574479;1,23827298799606;turnleft;
236;31,6132174574479;1,23827298799606;turnleft;
237;31,6132174574479;1,23827298799606;turnleft;
238;31,6132174574479;1,23827298799606;turnleft;
239;31,6132174574479;1,23827298799606;turnleft;
240;31,6132174574479;1,23827298799606;turnleft;
241;31,6132174574479;1,23827298799606;turnleft;
242;31,6132174574479;1,23827298799606;turnleft;
243;31,6132174574479;1,23827298799606;turnleft;
244;31,6132174574479;1,23827298799606;turnleft;
245;31,6132174574479;1,23827298799606;turnleft;
246;31,6132174574479;1,23827298799606;turnleft;
247;30,9061106762614;1,9453797691826;movefw;
248;30,1990038950748;2,65248655036915;movefw;
249;30,9061106762614;1,9453797691826;movebw;
250;30,1990038950748;2,65248655036915;movefw;
251;30,9061106762614;1,9453797691826;movebw;
252;30,1990038950748;2,65248655036915;movefw;
253;30,9061106762614;1,9453797691826;movebw;
254;30,1990038950748;2,65248655036915;movefw;
255;30,9061106762614;1,9453797691826;movebw;
256;30,9061106762614;1,9453797691826;turnleft;
257;30,9061106762614;1,9453797691826;turnleft;
258;30,9061106762614;1,9453797691826;turnleft;
259;30,9061106762614;1,9453797691826;turnleft;
260;30,9061106762614;1,9453797691826;turnleft;
261;30,9061106762614;1,9453797691826;turnleft;
262;30,9061106762614;1,9453797691826;turnleft;
263;30,9061106762614;1,9453797691826;turnleft;
264;30,9061106762614;1,9453797691826;turnleft;
265;30,9061106762614;1,9453797691826;turnleft;
266;30,9061106762614;1,9453797691826;turnleft;
267;30,9061106762614;1,9453797691826;turnleft;
268;30,9061106762614;1,9453797691826;turnleft;
269;30,9061106762614;1,9453797691826;turnleft;
270;30,9061106762614;1,9453797691826;turnleft;
271;30,9061106762614;1,9453797691826;turnleft;
272;30,9061106762614;1,9453797691826;turnright;
273;30,9061106762614;1,9453797691826;turnright;
274;30,9061106762614;1,9453797691826;turnright;
275;30,9061106762614;1,9453797691826;turnright;
276;30,9061106762614;1,9453797691826;turnright;
277;30,9061106762614;1,9453797691826;turnright;
278;30,9061106762614;1,9453797691826;turnright;
279;30,9061106762614;1,9453797691826;turnright;
280;30,9061106762614;1,9453797691826;turnright;
281;30,9061106762614;1,9453797691826;turnright;
282;31,8720365025504;1,68656072408008;movebw;
283;32,8379623288395;1,42774167897756;movebw;
284;33,8038881551286;1,16892263387504;movebw;
285;33,8038881551286;1,16892263387504;turnleft;
286;33,8038881551286;1,16892263387504;turnleft;
287;34,8000828532203;1,08176689112738;movebw;
288;34,8000828532203;1,08176689112738;turnleft;
289;35,8000828532203;1,08176689112738;movebw;
290;36,8000828532203;1,08176689112738;movebw;
291;37,8000828532203;1,08176689112738;movebw;
292;38,8000828532203;1,08176689112738;movebw;
293;39,8000828532203;1,08176689112738;movebw;
294;40,8000828532203;1,08176689112738;movebw;
295;41,8000828532203;1,08176689112738;movebw;
296;42,8000828532203;1,08176689112738;movebw;
297;43,8000828532203;1,08176689112738;movebw;
298;44,8000828532203;1,08176689112738;movebw;
299;45,8000828532203;1,08176689112738;movebw;
300;46,8000828532203;1,08176689112738;movebw;
301;47,8000828532203;1,08176689112738;movebw;
302;48,8000828532203;1,08176689112738;movebw;
303;48,8000828532203;1,08176689112738;turnright;
304;48,8000828532203;1,08176689112738;turnright;
305;48,8000828532203;1,08176689112738;turnright;
306;48,8000828532203;1,08176689112738;turnright;
307;48,8000828532203;1,08176689112738;turnright;
308;48,8000828532203;1,08176689112738;turnright;
309;48,8000828532203;1,08176689112738;turnright;
310;48,8000828532203;1,08176689112738;turnright;
311;48,8000828532203;1,08176689112738;turnright;
312;48,8000828532203;1,08176689112738;turnright;
313;48,8000828532203;1,08176689112738;turnright;
314;48,8000828532203;1,08176689112738;turnright;
315;48,8000828532203;1,08176689112738;turnright;
316;48,8000828532203;1,08176689112738;turnright;
317;48,8000828532203;1,08176689112738;turnright;
318;48,8000828532203;1,08176689112738;turnright;
319;48,8000828532203;1,08176689112738;turnright;
320;48,8000828532203;1,08176689112738;turnright;
321;48,8000828532203;1,08176689112738;turnright;
322;48,8000828532203;1,08176689112738;turnright;
323;48,9737310308873;2,06657464413959;movefw;
324;48,8000828532203;1,08176689112738;movebw;
325;48,9737310308873;2,06657464413959;movefw;
326;48,8000828532203;1,08176689112738;movebw;
327;48,9737310308873;2,06657464413959;movefw;
328;48,8000828532203;1,08176689112738;movebw;
329;48,9737310308873;2,06657464413959;movefw;
330;48,8000828532203;1,08176689112738;movebw;
331;48,9737310308873;2,06657464413959;movefw;
332;48,8000828532203;1,08176689112738;movebw;
333;48,9737310308873;2,06657464413959;movefw;
334;48,8000828532203;1,08176689112738;movebw;
335;48,9737310308873;2,06657464413959;movefw;
336;48,8000828532203;1,08176689112738;movebw;
337;48,9737310308873;2,06657464413959;movefw;
338;48,8000828532203;1,08176689112738;movebw;
339;48,9737310308873;2,06657464413959;movefw;
340;48,8000828532203;1,08176689112738;movebw;
341;48,9737310308873;2,06657464413959;movefw;
342;48,9737310308873;2,06657464413959;turnleft;
343;48,9737310308873;2,06657464413959;turnleft;
344;48,9737310308873;3,06657464413959;movefw;
345;48,9737310308873;3,06657464413959;turnleft;
346;48,9737310308873;3,06657464413959;turnleft;
347;48,9737310308873;3,06657464413959;turnleft;
