Iteration;X;Y;Action;
0;12;47;movefw;
1;12;48;movefw;
2;12;47;movebw;
3;12;48;movefw;
4;12;47;movebw;
5;12;48;movefw;
6;12;47;movebw;
7;12;48;movefw;
8;12;47;movebw;
9;12;48;movefw;
10;12;47;movebw;
11;12;48;movefw;
12;12;47;movebw;
13;12;48;movefw;
14;12;47;movebw;
15;12;48;movefw;
16;12;47;movebw;
17;12;48;movefw;
18;12;47;movebw;
19;12;48;movefw;
20;12;47;movebw;
21;12;48;movefw;
22;12;47;movebw;
23;12;46;movebw;
24;12;45;movebw;
25;12;44;movebw;
26;12;43;movebw;
27;12;42;movebw;
28;12;41;movebw;
29;12;40;movebw;
30;12;39;movebw;
31;12;38;movebw;
32;12;37;movebw;
33;12;36;movebw;
34;12;35;movebw;
35;12;34;movebw;
36;12;33;movebw;
37;12;32;movebw;
38;12;31;movebw;
39;12;30;movebw;
40;12;29;movebw;
41;12;28;movebw;
42;12;27;movebw;
43;12;26;movebw;
44;12;25;movebw;
45;12;24;movebw;
46;12;23;movebw;
47;12;22;movebw;
48;12;21;movebw;
49;12;22;movefw;
50;12;23;movefw;
51;12;24;movefw;
52;12;25;movefw;
53;12;26;movefw;
54;12;27;movefw;
55;12;28;movefw;
56;12;29;movefw;
57;12;30;movefw;
58;12;31;movefw;
59;12;32;movefw;
60;12;33;movefw;
61;12;34;movefw;
62;12;35;movefw;
63;12;36;movefw;
64;12;37;movefw;
65;12;38;movefw;
66;12;39;movefw;
67;12;40;movefw;
68;12;41;movefw;
69;12;42;movefw;
70;12;43;movefw;
71;12;44;movefw;
72;12;45;movefw;
73;12;46;movefw;
74;12;47;movefw;
75;12;48;movefw;
76;12;47;movebw;
77;12;48;movefw;
78;12;47;movebw;
79;12;48;movefw;
80;12;47;movebw;
81;12;48;movefw;
82;12;47;movebw;
83;12;48;movefw;
84;12;47;movebw;
85;12;48;movefw;
86;12;47;movebw;
87;12;46;movebw;
88;12;45;movebw;
89;12;44;movebw;
90;12;43;movebw;
91;12;42;movebw;
92;12;41;movebw;
93;12;40;movebw;
94;12;39;movebw;
95;12;38;movebw;
96;12;37;movebw;
97;12;36;movebw;
98;12;35;movebw;
99;12;34;movebw;
100;12;33;movebw;
101;12;32;movebw;
102;12;31;movebw;
103;12;30;movebw;
104;12;29;movebw;
105;12;28;movebw;
106;12;27;movebw;
107;12;26;movebw;
108;12;25;movebw;
109;12;24;movebw;
110;12;23;movebw;
111;12;22;movebw;
