Iteration;X;Y;Action;
0;35;5;movefw;
1;35;6;movefw;
2;35;5;movebw;
3;35;6;movefw;
4;35;5;movebw;
5;35;6;movefw;
6;35;5;movebw;
7;35;6;movefw;
8;35;5;movebw;
9;35;6;movefw;
10;35;5;movebw;
11;35;6;movefw;
12;35;5;movebw;
13;35;6;movefw;
14;35;5;movebw;
15;35;6;movefw;
16;35;5;movebw;
17;35;6;movefw;
18;35;5;movebw;
19;35;6;movefw;
20;35;5;movebw;
21;35;6;movefw;
22;35;5;movebw;
23;35;4;movebw;
24;35;3;movebw;
25;35;2;movebw;
26;35;1;movebw;
27;35;2;movefw;
28;35;1;movebw;
29;35;2;movefw;
30;35;1;movebw;
31;35;2;movefw;
32;35;1;movebw;
33;35;2;movefw;
34;35;1;movebw;
35;35;2;movefw;
36;35;1;movebw;
37;35;2;movefw;
38;35;1;movebw;
39;35;2;movefw;
40;35;1;movebw;
41;35;2;movefw;
42;35;1;movebw;
43;35;2;movefw;
44;35;1;movebw;
45;35;2;movefw;
46;35;1;movebw;
47;35;2;movefw;
48;35;1;movebw;
49;35;2;movefw;
50;35;3;movefw;
51;35;4;movefw;
52;35;5;movefw;
53;35;6;movefw;
54;35;5;movebw;
55;35;6;movefw;
56;35;5;movebw;
57;35;6;movefw;
58;35;5;movebw;
59;35;6;movefw;
60;35;5;movebw;
61;35;6;movefw;
62;35;5;movebw;
63;35;6;movefw;
64;35;5;movebw;
65;35;6;movefw;
66;35;5;movebw;
67;35;6;movefw;
68;35;5;movebw;
69;35;6;movefw;
70;35;5;movebw;
71;35;6;movefw;
72;35;5;movebw;
73;35;6;movefw;
74;35;5;movebw;
75;35;6;movefw;
76;35;5;movebw;
77;35;6;movefw;
78;35;5;movebw;
79;35;6;movefw;
80;35;5;movebw;
81;35;6;movefw;
82;35;5;movebw;
83;35;6;movefw;
84;35;5;movebw;
85;35;6;movefw;
86;35;5;movebw;
87;35;4;movebw;
88;35;3;movebw;
89;35;2;movebw;
90;35;1;movebw;
91;35;1;turnright;
92;35;1;turnright;
93;35;1;turnright;
94;35;1;turnright;
95;35;1;turnright;
96;35;1;turnright;
97;35;1;turnright;
98;35;1;turnright;
99;35;1;turnright;
100;35;1;turnright;
101;35;1;turnright;
102;35;1;turnright;
103;34,1339745962156;0,5;shoot;
104;35;1;turnright;
105;35;1;turnright;
106;35;1;turnright;
107;35;1;turnright;
108;35;1;turnright;
109;35;1;turnright;
110;34;1;movebw;
111;33;1;movebw;
112;32;1;movebw;
113;31;1;movebw;
114;30;1;movebw;
115;29;1;movebw;
116;28;1;movebw;
117;27;1;movebw;
118;26;1;movebw;
119;25;1;movebw;
120;24;1;movebw;
121;23;1;movebw;
122;22;1;movebw;
123;21;1;movebw;
124;20;1;movebw;
125;19;1;movebw;
126;18;1;movebw;
127;18;1;shoot;
128;17;1;movebw;
129;16;1;movebw;
130;15;1;movebw;
131;14;1;movebw;
132;13;1;movebw;
133;12;1;movebw;
134;11;1;movebw;
135;10;1;movebw;
136;9;1;movebw;
137;9;1;shoot;
138;8;1;movebw;
139;7;1;movebw;
140;6;1;movebw;
141;5;1;movebw;
142;4;1;movebw;
143;3;1;movebw;
144;2;1;movebw;
145;1;1;movebw;
146;2;1;movefw;
147;2;1;shoot;
148;1;1;movebw;
149;2;1;movefw;
150;2;1;turnright;
151;2;1;turnright;
152;2;1;turnright;
153;2;1;turnright;
154;2;1;turnright;
155;2;1;turnright;
156;2;1;turnright;
157;2;1;turnright;
158;2;1;turnright;
159;2;1;turnright;
160;1,35721239031346;1,76604444311898;movebw;
161;2;1;movefw;
162;1,35721239031346;1,76604444311898;movebw;
163;2;1;movefw;
164;1,35721239031346;1,76604444311898;movebw;
165;2;1;movefw;
166;1,35721239031346;1,76604444311898;movebw;
