Iteration;X;Y;Action;Timestamp;
0;7;21;turnleft;0;
1;6,91284425725234;21,9961946980917;movefw;0;
2;6,82568851450468;22,9923893961835;movefw;0;
3;6,73853277175703;23,9885840942752;movefw;0;
4;6,65137702900937;24,984778792367;movefw;0;
5;6,56422128626171;25,9809734904587;movefw;0;
6;6,47706554351405;26,9771681885505;movefw;0;
7;6,38990980076639;27,9733628866422;movefw;0;
8;6,30275405801873;28,969557584734;movefw;0;
9;6,21559831527108;29,9657522828257;movefw;0;
10;6,12844257252342;30,9619469809175;movefw;0;
11;6,04128682977576;31,9581416790092;movefw;0;
12;5,9541310870281;32,9543363771009;movefw;0;
13;5,86697534428044;33,9505310751927;movefw;0;
14;5,77981960153279;34,9467257732844;movefw;0;
15;5,69266385878513;35,9429204713762;movefw;0;
16;5,60550811603747;36,9391151694679;movefw;0;
17;5,51835237328981;37,9353098675597;movefw;0;
18;5,60550811603747;36,9391151694679;movebw;0;
19;5,51835237328981;37,9353098675597;movefw;0;
20;5,60550811603747;36,9391151694679;movebw;0;
21;5,51835237328981;37,9353098675597;movefw;0;
22;5,60550811603747;36,9391151694679;movebw;0;
23;5,51835237328981;37,9353098675597;movefw;0;
24;5,60550811603747;36,9391151694679;movebw;0;
25;5,51835237328981;37,9353098675597;movefw;0;
26;5,60550811603747;36,9391151694679;movebw;0;
27;5,51835237328981;37,9353098675597;movefw;0;
28;5,60550811603747;36,9391151694679;movebw;0;
29;5,51835237328981;37,9353098675597;movefw;0;
30;5,60550811603747;36,9391151694679;movebw;0;
31;5,51835237328981;37,9353098675597;movefw;0;
32;5,60550811603747;36,9391151694679;movebw;0;
33;5,51835237328981;37,9353098675597;movefw;0;
34;5,60550811603747;36,9391151694679;movebw;0;
35;5,51835237328981;37,9353098675597;movefw;0;
36;5,60550811603747;36,9391151694679;movebw;0;
37;5,51835237328981;37,9353098675597;movefw;0;
38;5,60550811603747;36,9391151694679;movebw;0;
39;5,51835237328981;37,9353098675597;movefw;0;
40;5,60550811603747;36,9391151694679;movebw;0;
41;5,51835237328981;37,9353098675597;movefw;0;
42;5,60550811603747;36,9391151694679;movebw;0;
43;5,51835237328981;37,9353098675597;movefw;0;
44;5,60550811603747;36,9391151694679;movebw;0;
45;5,51835237328981;37,9353098675597;movefw;0;
46;5,60550811603747;36,9391151694679;movebw;0;
47;5,51835237328981;37,9353098675597;movefw;0;
48;5,60550811603747;36,9391151694679;movebw;0;
49;5,51835237328981;37,9353098675597;movefw;0;
50;5,60550811603747;36,9391151694679;movebw;0;
51;5,51835237328981;37,9353098675597;movefw;0;
52;5,60550811603747;36,9391151694679;movebw;0;
53;5,51835237328981;37,9353098675597;movefw;0;
54;5,60550811603747;36,9391151694679;movebw;0;
55;5,51835237328981;37,9353098675597;movefw;0;
56;5,60550811603747;36,9391151694679;movebw;0;
57;5,51835237328981;37,9353098675597;movefw;0;
58;5,60550811603747;36,9391151694679;movebw;0;
59;5,51835237328981;37,9353098675597;movefw;0;
60;5,60550811603747;36,9391151694679;movebw;0;
61;5,51835237328981;37,9353098675597;movefw;0;
62;5,60550811603747;36,9391151694679;movebw;0;
63;5,51835237328981;37,9353098675597;movefw;0;
64;5,60550811603747;36,9391151694679;movebw;0;
65;5,51835237328981;37,9353098675597;movefw;0;
66;5,60550811603747;36,9391151694679;movebw;0;
67;5,51835237328981;37,9353098675597;movefw;0;
68;5,60550811603747;36,9391151694679;movebw;0;
69;5,51835237328981;37,9353098675597;movefw;0;
70;5,60550811603747;36,9391151694679;movebw;0;
71;5,51835237328981;37,9353098675597;movefw;0;
72;5,60550811603747;36,9391151694679;movebw;0;
73;5,51835237328981;37,9353098675597;movefw;0;
74;5,60550811603747;36,9391151694679;movebw;0;
75;5,51835237328981;37,9353098675597;movefw;0;
76;5,60550811603747;36,9391151694679;movebw;0;
77;5,51835237328981;37,9353098675597;movefw;0;
78;5,60550811603747;36,9391151694679;movebw;0;
79;5,51835237328981;37,9353098675597;movefw;0;
80;5,60550811603747;36,9391151694679;movebw;0;
81;5,51835237328981;37,9353098675597;movefw;0;
82;5,60550811603747;36,9391151694679;movebw;0;
83;5,51835237328981;37,9353098675597;movefw;0;
84;5,60550811603747;36,9391151694679;movebw;0;
85;5,51835237328981;37,9353098675597;movefw;0;
86;5,60550811603747;36,9391151694679;movebw;0;
87;5,51835237328981;37,9353098675597;movefw;0;
88;5,60550811603747;36,9391151694679;movebw;0;
89;5,51835237328981;37,9353098675597;movefw;0;
90;5,60550811603747;36,9391151694679;movebw;0;
91;5,51835237328981;37,9353098675597;movefw;0;
92;5,60550811603747;36,9391151694679;movebw;0;
93;5,51835237328981;37,9353098675597;movefw;0;
94;5,60550811603747;36,9391151694679;movebw;0;
95;5,51835237328981;37,9353098675597;movefw;0;
96;5,60550811603747;36,9391151694679;movebw;0;
97;5,51835237328981;37,9353098675597;movefw;0;
98;5,60550811603747;36,9391151694679;movebw;0;
99;5,51835237328981;37,9353098675597;movefw;0;
100;5,60550811603747;36,9391151694679;movebw;0;
101;5,51835237328981;37,9353098675597;movefw;0;
102;5,60550811603747;36,9391151694679;movebw;0;
103;5,51835237328981;37,9353098675597;movefw;0;
104;5,60550811603747;36,9391151694679;movebw;0;
