Iteration;X;Y;Action;
0;7;22;movefw;
1;7;23;movefw;
2;7;24;movefw;
3;7;25;movefw;
4;7;26;movefw;
5;7;27;movefw;
6;7;28;movefw;
7;7;27;movebw;
8;7;28;movefw;
9;7;27;movebw;
10;7;28;movefw;
11;7;27;movebw;
12;7;28;movefw;
13;7;27;movebw;
14;7;28;movefw;
15;7;27;movebw;
16;7;28;movefw;
17;7;27;movebw;
18;7;28;movefw;
19;7;27;movebw;
20;7;28;movefw;
21;7;27;movebw;
22;7;26;movebw;
23;7;25;movebw;
24;7;24;movebw;
25;7;23;movebw;
26;7;22;movebw;
27;7;21;movebw;
28;7;20;movebw;
29;7;19;movebw;
30;7;18;movebw;
31;7;17;movebw;
32;7;16;movebw;
33;7;15;movebw;
34;7;14;movebw;
35;7;13;movebw;
36;7;14;movefw;
37;7;13;movebw;
38;7;14;movefw;
39;7;13;movebw;
40;7;14;movefw;
41;7;13;movebw;
42;7;14;movefw;
43;7;13;movebw;
44;7;14;movefw;
45;7;13;movebw;
46;7;14;movefw;
47;7;13;movebw;
48;7;14;movefw;
49;7;15;movefw;
50;7;16;movefw;
51;7;17;movefw;
52;7;18;movefw;
53;7;19;movefw;
54;7;20;movefw;
55;7;21;movefw;
56;7;22;movefw;
57;7;23;movefw;
58;7;24;movefw;
59;7;25;movefw;
60;7;26;movefw;
61;7;27;movefw;
62;7;28;movefw;
63;7;27;movebw;
64;7;28;movefw;
65;7;27;movebw;
66;7;28;movefw;
67;7;27;movebw;
68;7;28;movefw;
69;7;27;movebw;
70;7;28;movefw;
71;7;27;movebw;
72;7;28;movefw;
73;7;27;movebw;
74;7;28;movefw;
75;7;27;movebw;
76;7;28;movefw;
77;7;27;movebw;
78;7;28;movefw;
79;7;27;movebw;
80;7;28;movefw;
81;7;27;movebw;
82;7;28;movefw;
83;7;27;movebw;
84;7;28;movefw;
85;7;27;movebw;
86;7;28;movefw;
87;7;27;movebw;
88;7;26;movebw;
89;7;25;movebw;
90;7;24;movebw;
91;7;23;movebw;
92;7;22;movebw;
93;7;21;movebw;
94;7;20;movebw;
95;7;19;movebw;
96;7;18;movebw;
97;7;17;movebw;
98;7;16;movebw;
99;7;15;movebw;
100;7;14;movebw;
101;7;13;movebw;
102;7;13;turnright;
103;7;13;turnright;
104;6,82635182233307;12,0151922469878;shoot;
105;7;13;turnright;
106;7;13;turnright;
107;7;13;turnright;
108;7;13;turnright;
109;7;13;turnright;
110;7;13;turnright;
111;7;13;turnright;
112;7;13;turnright;
113;7;13;turnright;
114;6,18084795571101;12,426423563649;shoot;
115;7;13;turnright;
116;7;13;turnright;
117;7;13;turnright;
118;7;13;turnright;
119;7;13;turnright;
120;7;13;turnright;
121;7;13;turnright;
122;6;13;movebw;
123;5;13;movebw;
124;4;13;movebw;
125;3;13;movebw;
126;2;13;movebw;
127;2;13;shoot;
128;1;13;movebw;
129;2;13;movefw;
130;1;13;movebw;
131;2;13;movefw;
132;1;13;movebw;
133;2;13;movefw;
134;1;13;movebw;
135;2;13;movefw;
136;1;13;movebw;
137;1;13;shoot;
138;2;13;movefw;
139;1;13;movebw;
140;2;13;movefw;
141;1;13;movebw;
142;2;13;movefw;
143;1;13;movebw;
144;2;13;movefw;
145;1;13;movebw;
146;2;13;movefw;
147;2;13;shoot;
148;1;13;movebw;
149;2;13;movefw;
150;2;13;turnright;
151;2;13;turnright;
152;2;13;turnright;
153;2;13;turnright;
154;2;13;turnright;
155;2;13;turnright;
156;2;13;turnright;
157;2;13;turnright;
158;2;13;turnright;
159;2;13;turnright;
160;1,35721239031346;13,766044443119;movebw;
161;2;13;movefw;
162;1,35721239031346;13,766044443119;movebw;
163;2;13;movefw;
164;1,35721239031346;13,766044443119;movebw;
165;2;13;movefw;
166;1,35721239031346;13,766044443119;movebw;
167;2;13;movefw;
168;1,35721239031346;13,766044443119;movebw;
169;2;13;movefw;
170;1,35721239031346;13,766044443119;movebw;
171;2;13;movefw;
172;1,35721239031346;13,766044443119;movebw;
173;2;13;movefw;
174;1,35721239031346;13,766044443119;movebw;
175;2;13;movefw;
176;1,35721239031346;13,766044443119;movebw;
177;2;13;movefw;
178;1,35721239031346;13,766044443119;movebw;
179;2;13;movefw;
180;1,35721239031346;13,766044443119;movebw;
181;2;13;movefw;
182;1,35721239031346;13,766044443119;movebw;
183;2;13;movefw;
184;2;13;turnright;
185;2;13;turnright;
186;2;13;turnright;
187;2;13;turnright;
188;2;13;turnright;
189;2;13;turnright;
190;2;13;turnright;
191;2;13;turnright;
192;2;13;turnright;
193;2;13;turnright;
194;2;13;turnright;
195;2;13;turnright;
196;2;13;turnright;
197;2;13;turnright;
198;2;13;turnright;
199;2;13;turnright;
200;2;13;turnright;
201;2;13;turnright;
202;2;13;turnright;
203;2;13;turnright;
204;2;13;turnright;
205;2;13;turnright;
206;2;13;shoot;
207;2;13;turnleft;
208;2;13;turnleft;
209;2;13;turnleft;
210;2;13;turnleft;
211;2;13;turnleft;
212;2;13;turnleft;
213;2;13;turnleft;
214;2;13;turnleft;
215;2;13;turnleft;
216;2;13;shoot;
217;2;13;turnleft;
218;2;13;turnleft;
219;2;13;turnleft;
220;2;13;turnleft;
221;2;13;turnleft;
222;2;13;turnleft;
223;2;13;turnleft;
224;2;13;turnleft;
225;2;13;turnleft;
226;2;13;shoot;
227;2;13;turnleft;
228;2;13;turnleft;
229;2;13;turnleft;
230;2;13;turnleft;
231;2;13;turnleft;
232;1,29289321881345;13,7071067811865;movebw;
233;2;13;movefw;
234;1,29289321881345;13,7071067811865;movebw;
235;2;13;movefw;
236;1,29289321881345;13,7071067811865;movebw;
237;0,585786437626908;14,4142135623731;shoot;
238;2;13;movefw;
239;1,29289321881345;13,7071067811865;movebw;
240;2;13;movefw;
241;1,29289321881345;13,7071067811865;movebw;
242;2;13;movefw;
243;1,29289321881345;13,7071067811865;movebw;
244;2;13;movefw;
245;1,29289321881345;13,7071067811865;movebw;
246;2;13;movefw;
247;1,29289321881345;13,7071067811865;movebw;
248;2;13;movefw;
249;1,29289321881345;13,7071067811865;movebw;
250;2;13;movefw;
251;1,29289321881345;13,7071067811865;movebw;
252;2;13;movefw;
253;1,29289321881345;13,7071067811865;movebw;
254;2;13;movefw;
255;1,29289321881345;13,7071067811865;movebw;
256;2;13;movefw;
257;1,29289321881345;13,7071067811865;movebw;
258;2;13;movefw;
259;2;13;shoot;
260;1,29289321881345;13,7071067811865;movebw;
261;2;13;movefw;
262;1,29289321881345;13,7071067811865;movebw;
263;2;13;movefw;
264;1,29289321881345;13,7071067811865;movebw;
265;2;13;movefw;
266;1,29289321881345;13,7071067811865;movebw;
267;2;13;movefw;
268;1,29289321881345;13,7071067811865;movebw;
269;1,29289321881345;13,7071067811865;shoot;
270;2;13;movefw;
271;1,29289321881345;13,7071067811865;movebw;
272;2;13;movefw;
273;1,29289321881345;13,7071067811865;movebw;
274;2;13;movefw;
275;1,29289321881345;13,7071067811865;movebw;
276;2;13;movefw;
277;2;13;turnright;
278;2;13;turnright;
279;2;13;turnright;
280;2;13;turnright;
281;2;13;turnright;
282;2;13;turnright;
283;2;13;turnright;
284;2;13;turnright;
285;2;13;turnright;
286;2;13;turnright;
287;2;13;turnright;
288;2;13;turnright;
289;2;13;turnright;
290;2;13;turnright;
291;2;13;turnright;
292;2;13;turnright;
293;2;13;turnright;
294;2;13;turnright;
295;2;13;turnright;
296;2;13;turnright;
297;2;13;turnright;
298;2;13;turnright;
299;2;13;turnright;
300;2,93969262078591;13,3420201433257;movebw;
