Iteration;X;Y;Action;
0;44;23;movefw;
1;44;24;movefw;
2;44;25;movefw;
3;44;26;movefw;
4;44;27;movefw;
5;44;27;turnright;
6;44,0871557427477;27,9961946980917;movefw;
7;44,0871557427477;27,9961946980917;turnright;
8;44,0871557427477;27,9961946980917;turnright;
9;44,0871557427477;27,9961946980917;turnright;
10;44,0871557427477;27,9961946980917;turnright;
11;43,664537481007;27,0898869110551;movebw;
12;43,2419192192663;26,1835791240184;movebw;
13;43,664537481007;27,0898869110551;movefw;
14;43,2419192192663;26,1835791240184;movebw;
15;43,664537481007;27,0898869110551;movefw;
16;43,2419192192663;26,1835791240184;movebw;
17;43,664537481007;27,0898869110551;movefw;
18;43,2419192192663;26,1835791240184;movebw;
19;43,664537481007;27,0898869110551;movefw;
20;43,2419192192663;26,1835791240184;movebw;
21;43,2419192192663;26,1835791240184;turnright;
22;43,2419192192663;26,1835791240184;turnright;
23;43,2419192192663;26,1835791240184;turnright;
24;43,2419192192663;26,1835791240184;turnright;
25;43,2419192192663;26,1835791240184;turnright;
26;43,2419192192663;26,1835791240184;turnright;
27;43,2419192192663;26,1835791240184;turnright;
28;43,2419192192663;26,1835791240184;turnright;
29;43,2419192192663;26,1835791240184;turnright;
30;43,2419192192663;26,1835791240184;turnright;
31;43,2419192192663;26,1835791240184;turnright;
32;43,2419192192663;26,1835791240184;turnleft;
33;43,2419192192663;26,1835791240184;turnleft;
34;43,2419192192663;26,1835791240184;turnleft;
35;43,2419192192663;26,1835791240184;turnleft;
36;43,2419192192663;26,1835791240184;turnleft;
37;43,2419192192663;26,1835791240184;turnleft;
38;43,2419192192663;26,1835791240184;turnleft;
39;43,2419192192663;26,1835791240184;turnright;
40;43,2419192192663;26,1835791240184;turnright;
41;43,2419192192663;26,1835791240184;turnright;
42;43,2419192192663;26,1835791240184;turnright;
43;43,2419192192663;26,1835791240184;turnright;
44;43,2419192192663;26,1835791240184;turnright;
45;43,2419192192663;26,1835791240184;turnright;
46;43,2419192192663;26,1835791240184;turnright;
47;43,2419192192663;26,1835791240184;turnright;
48;43,2419192192663;26,1835791240184;turnright;
49;43,2419192192663;26,1835791240184;turnright;
50;43,2419192192663;26,1835791240184;turnright;
51;44,2078450455553;25,9247600789159;movefw;
52;45,1737708718444;25,6659410338134;movefw;
53;46,1396966981335;25,4071219887109;movefw;
54;47,1056225244225;25,1483029436084;movefw;
55;48,0715483507116;24,8894838985058;movefw;
56;47,1056225244225;25,1483029436084;movebw;
57;48,0715483507116;24,8894838985058;movefw;
58;47,1056225244225;25,1483029436084;movebw;
59;48,0715483507116;24,8894838985058;movefw;
60;47,1056225244225;25,1483029436084;movebw;
61;46,1396966981335;25,4071219887109;movebw;
62;45,1737708718444;25,6659410338134;movebw;
63;44,2078450455553;25,9247600789159;movebw;
64;43,2419192192663;26,1835791240184;movebw;
65;44,2078450455553;25,9247600789159;movefw;
66;43,2419192192663;26,1835791240184;movebw;
67;44,2078450455553;25,9247600789159;movefw;
68;43,2419192192663;26,1835791240184;movebw;
69;44,2078450455553;25,9247600789159;movefw;
70;43,2419192192663;26,1835791240184;movebw;
71;44,2078450455553;25,9247600789159;movefw;
72;45,1737708718444;25,6659410338134;movefw;
73;46,1396966981335;25,4071219887109;movefw;
74;47,1056225244225;25,1483029436084;movefw;
75;48,0715483507116;24,8894838985058;movefw;
76;48,0715483507116;24,8894838985058;turnright;
77;48,0715483507116;24,8894838985058;turnright;
78;48,9778561377482;24,4668656367651;movefw;
79;48,9778561377482;24,4668656367651;turnright;
80;48,9778561377482;24,4668656367651;turnright;
81;48,1587040934593;25,0404420731162;movebw;
82;47,3395520491703;25,6140185094672;movebw;
83;46,5204000048813;26,1875949458183;movebw;
84;45,7012479605923;26,7611713821693;movebw;
85;44,8820959163033;27,3347478185204;movebw;
86;44,0629438720143;27,9083242548714;movebw;
87;44,8820959163033;27,3347478185204;movefw;
88;44,0629438720143;27,9083242548714;movebw;
89;44,8820959163033;27,3347478185204;movefw;
90;44,0629438720143;27,9083242548714;movebw;
91;44,8820959163033;27,3347478185204;movefw;
92;44,0629438720143;27,9083242548714;movebw;
93;44,8820959163033;27,3347478185204;movefw;
